Fname,Content_Transfer_Encoding_field,Content_Type,Received_SPF,DKIM,X_Mailer_exists,From_count_addresses,From_header_missing,From_has_title,From_dn_exists,From_DN_whitespaces,FROM_DOMAIN_EQUAL_MESSAGEID_DOMAIN,FROM_DOMAIN_EQUAL_TO_DOMAIN,From_DN_has_nonascii,From_address_equal_reply_address,From_address_equal_to_address,From_DN_count_special_chars,Reply_TO_empty,Reply_TO_questionmark,To_count_addresses,To_undisclosed,To_empty,BCC_count_recepients,Cc_count_recepients,Subject_special_chars,Total_emailadresses,Label
00001.1a31cc283af0060967a233d26548a6ce.eml,0,0,5,0,0,1,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,1,1,2,0
00001.7c53336b37003a9286aba55d2945844c.eml,0,0,5,0,0,1,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,1,1,2,0
00001.7c7d6921e671bbe18ebb5f893cd9bb35.eml,0,0,5,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00002.5a587ae61666c5aa097c8e866aedcc59.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,2,0
00002.9c4069e25e1ef370c078db7ee85ff9ac.eml,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00002.ca96f74042d05c1a1d29ca30467cfcd5.eml,0,0,5,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,0
00003.19be8acd739ad589cd00d8425bac7115.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,2,1,2,0
00003.268fd170a3fc73bee2739d8204856a53.eml,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0
00003.860e3c3cee1b42ead714c5c874fe25f7.eml,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00004.68819fc91d34c82433074d7bd3127dcc.eml,0,0,5,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00004.864220c5b6930b209cc287c361c99af1.eml,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0
00004.b2ed6c3c62bbdfab7683d60e214d1445.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,2,0
00005.07b9d4aa9e6c596440295a5170111392.eml,0,2,5,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,1,2,0
00005.34bcaad58ad5f598f5d6af8cfa0c0465.eml,0,0,5,0,0,1,0,0,1,2,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,0
00005.bf27cdeaf0b8c4647ecd61b1d09da613.eml,0,0,5,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00006.253ea2f9a9cc36fa0b1129b04b806608.eml,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00006.3409dec8ca4fcf2d6e0582554473b5c9.eml,0,0,5,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,2,0
00006.654c4ec7c059531accf388a807064363.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,3,0
00007.2e086b13730b68a21ee715db145522b9.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0
00007.37a8af848caae585af4fe35779656d55.eml,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00007.d24e99a602ee7fb442714c0d448cd08e.eml,0,1,5,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0
00008.5891548d921601906337dcf1ed8543cb.eml,0,0,5,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0
00008.6b73027e1e56131377941ff1db17ff12.eml,0,2,5,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0
